N,repeticao,MSE_sem_ruido,MSE_com_ruido
1000,10,0.00063755554425557,0.02319350384675131
1000,11,0.0006556013075535692,0.02303431809980097
1000,12,0.0004668078173644373,0.022899646927509138
1000,13,0.00031655349111961765,0.02282051865161306
1000,14,0.000381782225164467,0.02279163945337308
1000,15,0.00046230483992265733,0.022964088189896793
1000,16,0.0001942792869406486,0.022615396603598716
1000,17,0.00048016105761859094,0.02290941576832608
1000,18,0.00045005430125426884,0.02295982084283608
1000,19,0.00023129442867044294,0.022551452615530442
2500,0,0.0001618527327656042,0.02261135442155464
2500,1,0.0001222418040377656,0.022587652567430144
2500,2,0.0001308548451616568,0.022541999292293065
2500,3,0.00024088601315344263,0.02262371327962718
2500,4,0.00016826291316829862,0.022651985331091862
2500,5,0.00022946965299109915,0.02267946418241801
2500,6,0.00012538755856661966,0.02252361274414588
2500,7,8.886955815823734e-05,0.022510247796023983
2500,8,0.00012116017534270906,0.022547972653030407
2500,9,0.00013603891365349382,0.0225899669665698
2500,10,0.00019618346719448132,0.022550684164332476
2500,11,0.00013131009279074982,0.022504176701576166
2500,12,8.554046954006862e-05,0.02249675566429394
2500,13,9.441917633265604e-05,0.02253841880784942
2500,14,5.88642847808723e-05,0.022485439854852254
2500,15,5.3233555475833804e-05,0.022442558926174368
2500,16,0.00017294967000527014,0.022583254478463623
2500,17,0.0001930564367066641,0.022654532861468516
2500,18,0.00014855501444965954,0.022629589866388432
2500,19,0.00017002073832643745,0.022578854328634046
5000,0,5.184425651689595e-05,0.022498228449622813
5000,1,3.6713556766916756e-05,0.022453123386709847
5000,2,4.680374794024162e-05,0.022461361628717508
5000,3,0.00010364802270599536,0.022499170111751867
5000,4,7.55084213167297e-05,0.022529154931142093
5000,5,4.5785470530786835e-05,0.02248932942727896
5000,6,3.235100598034694e-05,0.02243127552233768
5000,7,5.399807968019956e-05,0.022502359879978957
5000,8,6.126461665357822e-05,0.022476243381268312
5000,9,0.00011833319521691507,0.022561679114001625
5000,10,5.150756738322567e-05,0.022455159917323622
5000,11,3.433243572956767e-05,0.022453609356755482
5000,12,8.74713217161216e-05,0.02254410823044938
5000,13,8.394128903360109e-05,0.022546764448229673
5000,14,5.565217162935208e-05,0.022492559187284867
5000,15,8.853753878239097e-05,0.02251597934736369
5000,16,5.438200009611834e-05,0.022493995324530884
5000,17,0.00012248630357600252,0.022548025436340605
5000,18,7.466876564895629e-05,0.022511843028744455
5000,19,2.631125535135382e-05,0.022470966934703976
