N,metodo,erro_medio,desvio
2650,Fibonacci,0.001172730204801102,0.0
2650,aleatório,0.0022384509100873947,2.5309015795104134e-05
2700,Fibonacci,0.0011512213482372453,0.0
2700,aleatório,0.002214102278830935,2.3891806468736463e-05
2750,Fibonacci,0.0011305266462419636,0.0
2750,aleatório,0.0021818184453173033,1.864912563104452e-05
2800,Fibonacci,0.001110598729692993,0.0
2800,aleatório,0.0021376787085348073,2.0089460683262453e-05
2850,Fibonacci,0.0010913934441266373,0.0
2850,aleatório,0.002084390221316675,2.3921477642236168e-05
2900,Fibonacci,0.0010728695983523806,0.0
2900,aleatório,0.002056232589535514,4.160310001436925e-05
2950,Fibonacci,0.0010549887348390318,0.0
2950,aleatório,0.0020247404371710486,8.41324223060601e-06
3000,Fibonacci,0.0010377149198635652,0.0
3000,aleatório,0.0019839461403091357,1.0358188984178345e-05
3050,Fibonacci,0.0010210145515978642,0.0
3050,aleatório,0.001959086607130845,1.9208209648229898e-05
3100,Fibonacci,0.0010048561844996954,0.0
3100,aleatório,0.001985132116175383,3.164013236004082e-06
3150,Fibonacci,0.0009892103684208868,0.0
3150,aleatório,0.0019212978396851443,2.0624934052801943e-05
3200,Fibonacci,0.0009740495012928,0.0
3200,aleatório,0.0018743549633530928,2.6187084135788318e-06
3250,Fibonacci,0.0009593476939116191,0.0
3250,aleatório,0.0018255910456957097,1.509490510810871e-05
3300,Fibonacci,0.0009450806458940344,0.0
3300,aleatório,0.001812369457793063,2.5643794258459724e-05
3350,Fibonacci,0.000931225531777196,0.0
3350,aleatório,0.0017740975048317184,7.70306908615633e-06
3400,Fibonacci,0.000917760896272164,0.0
3400,aleatório,0.001751768063976925,8.828849572359548e-06
3450,Fibonacci,0.0009046665579896489,0.0
3450,aleatório,0.0017173203965419246,9.740966194680712e-06
3500,Fibonacci,0.0008919235236601691,0.0
3500,aleatório,0.0017091649152230423,3.428550976162507e-05
3550,Fibonacci,0.0008795143829737639,0.0
3550,aleatório,0.0016890806112084846,7.956743755081036e-06
3600,Fibonacci,0.0008674243003864949,0.0
3600,aleatório,0.0016637828981937242,1.2818386207974045e-05
3650,Fibonacci,0.0008556402708176418,0.0
3650,aleatório,0.0016406635590384766,4.489388192500106e-06
3700,Fibonacci,0.0008441505216160839,0.0
3700,aleatório,0.001608111451913724,5.4270069247945804e-06
3750,Fibonacci,0.000832944233537871,0.0
3750,aleatório,0.0016053346705401596,1.5022282055260756e-05
3800,Fibonacci,0.0008220113624954999,0.0
3800,aleatório,0.0015544611875641116,1.6613676267898838e-06
3850,Fibonacci,0.0008113425136359378,0.0
3850,aleatório,0.0015648908278166618,1.3054446322181647e-05
3900,Fibonacci,0.0008009288475539805,0.0
3900,aleatório,0.0015195925029928864,3.0997653535390194e-05
3950,Fibonacci,0.0007907620082266795,0.0
3950,aleatório,0.0015346846958296412,1.1936668753355174e-05
4000,Fibonacci,0.0007808340661754158,0.0
4000,aleatório,0.0014994142031842033,1.5287745447523328e-05
4050,Fibonacci,0.0007711374728414795,0.0
4050,aleatório,0.001476964142794428,1.4041907368637196e-05
4100,Fibonacci,0.0007616650234434103,0.0
4100,aleatório,0.0014606362243916933,9.12060310745243e-06
4150,Fibonacci,0.0007524098262483165,0.0
4150,aleatório,0.0014714576139351415,1.9971847286845874e-05
4200,Fibonacci,0.0007433652768370879,0.0
4200,aleatório,0.0014303526193326789,1.1518471994004945e-05
4250,Fibonacci,0.0007345250363535011,0.0
4250,aleatório,0.0014021498899843294,1.0456987516648269e-05
